#{"t_start": 1706727432.6936316, "env_id": "CurvyRaceEnv-v0"}
r,l,t
73.904145,100,157.49633
81.177884,100,157.693
88.291758,100,157.885665
87.929176,100,158.072325
106.635127,100,158.267994
86.915041,100,158.463162
81.371677,100,158.641815
80.864615,100,158.854998
77.649193,100,159.069683
76.21131,100,159.298379
92.32763,100,159.499552
76.182586,100,159.700725
85.678127,100,159.911406
91.637151,100,160.115081
86.105841,100,160.330766
91.822363,100,160.542449
101.050092,100,160.751628
87.042222,100,160.958306
99.260943,100,161.158477
88.405459,100,161.371662
93.688533,100,161.578339
106.254488,100,161.79102
95.537108,100,161.996197
106.63483,100,162.218388
95.458332,100,162.423064
90.224693,100,162.631743
79.218607,100,162.87245
64.9606,100,163.096643
95.491339,100,163.309326
83.878064,100,163.511499
99.837131,100,163.716175
76.014825,100,163.925855
84.525261,100,164.127528
68.840011,100,164.325699
101.527956,100,164.531375
89.074541,100,164.718537
87.801296,100,164.910201
67.829953,100,165.115878
78.330413,100,165.323556
65.602137,100,165.533238
71.289459,100,165.73591
90.55365,100,165.935083
89.052034,100,166.131751
56.609689,100,166.355943
88.750872,100,166.557617
80.820113,100,166.75879
88.845204,100,166.974475
89.244305,100,167.179651
83.218318,100,167.382325
74.545052,100,167.593507
87.343357,100,167.792679
91.720463,100,167.982341
82.370772,100,168.186517
88.804656,100,168.391692
88.618303,100,168.585359
88.257946,100,168.781027
88.321197,100,168.979698
65.070697,100,169.173865
95.845436,100,169.359024
83.861179,100,169.553691
85.126053,100,169.778384
85.174057,100,169.981058
87.969057,100,170.127184
73.267332,100,170.259798
82.929187,100,170.391411
103.468952,100,170.523024
75.685703,100,170.647631
98.482443,100,170.772238
107.483845,100,170.896345
75.030045,100,171.021953
77.082186,100,171.154567
69.831814,100,171.279174
93.321834,100,171.409285
69.90571,100,171.533392
83.187172,100,171.656497
97.653827,100,171.796119
104.37334,100,171.920725
101.905943,100,172.076859
93.230648,100,172.203968
94.459405,100,172.351095
91.409937,100,172.476202
97.270497,100,172.607815
89.694469,100,172.732422
97.298672,100,172.856529
82.184388,100,172.981136
104.214154,100,173.117253
72.227452,100,173.240859
91.256171,100,173.365466
99.582837,100,173.498581
87.155554,100,173.630193
84.422675,100,173.763808
83.39535,100,173.889417
103.014029,100,174.036043
86.332274,100,174.188675
65.345415,100,174.355317
68.810931,100,174.511452
37.349719,100,174.667586
98.42177,100,174.814712
54.282932,100,174.966842
71.526191,100,175.112968
64.238658,100,175.261596
97.596843,100,175.420232
44.094239,100,175.597386
77.58569,100,175.761525
78.74457,100,175.936175
66.733006,100,176.098815
68.694048,100,176.271471
71.023033,100,176.55821
69.821328,100,176.841453
82.969129,100,177.021109
76.562857,100,177.19676
100.294837,100,177.364903
84.513104,100,177.523039
92.220342,100,177.669665
91.462309,100,177.816291
90.370767,100,177.986939
89.566381,100,178.131061
94.971294,100,178.289697
79.666064,100,178.45634
95.133251,100,178.61798
86.078125,100,178.813148
98.590391,100,179.010817
94.394981,100,179.244518
99.97429,100,179.448694
83.956838,100,179.662878
93.931012,100,179.857545
98.941607,100,180.051212
95.132513,100,180.301927
89.539419,100,180.525619
90.533586,100,180.738302
95.342082,100,180.92346
105.39898,100,181.115125
81.245694,100,181.293278
76.840664,100,181.547997
91.485791,100,181.804718
78.140756,100,182.011896
92.787205,100,182.197055
85.089984,100,182.35469
98.726467,100,182.495311
96.916074,100,182.634931
75.236711,100,182.787563
91.939306,100,182.927683
94.969866,100,183.065301
85.234774,100,183.200919
73.962165,100,183.354049
79.86535,100,183.486162
100.139193,100,183.627784
93.16941,100,183.822952
95.64617,100,184.053651
93.323716,100,184.27334
96.009941,100,184.448991
84.81513,100,184.591112
93.596242,100,184.757755
95.257333,100,184.942416
98.237944,100,185.111559
88.447097,100,185.259186
92.05984,100,185.396303
104.434615,100,185.538426
85.020547,100,185.690557
97.703891,100,185.831678
89.416816,100,185.99682
86.42879,100,186.19549
88.220332,100,186.366639
69.879106,100,186.519769
87.811648,100,186.665896
78.164947,100,186.814022
73.137184,100,186.941632
85.814576,100,187.076248
102.541488,100,187.231882
83.208608,100,187.386514
80.452869,100,187.527135
77.987446,100,187.687773
90.777056,100,187.834399
86.027998,100,187.993036
89.514992,100,188.147668
62.477135,100,188.319817
75.906448,100,188.467943
71.81623,100,188.598556
66.343359,100,188.781714
96.486236,100,188.923334
97.870606,100,189.077967
94.374078,100,189.242609
94.96244,100,189.389235
74.196428,100,189.552875
88.119455,100,189.700002
103.044628,100,189.82511
100.49969,100,189.967232
93.606789,100,190.111356
89.362465,100,190.262486
88.14288,100,190.414616
90.304175,100,190.572752
64.228455,100,190.741397
92.690482,100,190.949576
96.62235,100,191.095702
80.656,100,191.239825
