Rg,Spieler,Land,Pos,Verein,Alt,Geboren,GS,Startelf,Min.,90,Tor,Vor,T+V,T-Elf,Elf,VeElf,Gelb,Rot,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Tor,Vor,T+V,T-Elf,T+V-Elf,xG,xAG,xG+xAG,npxG,npxG+xAG
423,Timo Werner,GER,"FW,MF",RB Leipzig,27-304,1996,8,2,207.0,2.3,2,0,2,1,1,1,0,0,2.4,1.6,0.0,16,10,6,32,87,0,87,43,43,102,2,104,68,70
424,Silvan Widmer,SUI,DF,Mainz 05,30-305,1993,4,4,353.0,3.9,0,0,0,0,0,0,1,0,0.0,0.0,1.4,14,11,19,21,0,0,0,0,0,0,35,35,0,35
425,Patrick Wimmer,AUT,FW,Wolfsburg,22-219,2001,6,4,280.0,3.1,0,0,0,0,0,0,1,0,0.3,0.3,0.1,4,3,7,15,0,0,0,0,0,8,4,12,8,12
426,Jonas Wind,DEN,FW,Wolfsburg,24-331,1999,16,16,1.402,15.6,9,4,13,9,0,1,3,0,6.3,5.4,3.0,84,5,42,68,58,26,83,58,83,40,19,60,34,54
427,Florian Wirtz,GER,MF,Leverkusen,20-246,2003,16,15,1.262,14.0,5,7,12,5,0,0,1,0,3.9,3.9,4.0,79,73,110,143,36,50,86,36,86,28,29,57,28,57
428,Maximilian Wittek,GER,"DF,MF",Bochum,28-136,1995,9,7,497.0,5.5,0,1,1,0,0,0,1,0,0.3,0.3,0.5,8,10,34,20,0,18,18,0,18,5,9,14,5,14
429,Maximilian Wöber,AUT,DF,M'Gladbach,25-334,1998,15,15,1.321,14.7,1,2,3,1,0,0,3,1,0.8,0.8,1.0,18,23,84,17,7,14,20,7,20,5,6,12,5,12
430,Marius Wolf,GER,DF,Dortmund,28-222,1995,12,7,630.0,7.0,0,1,1,0,0,0,2,0,0.2,0.2,1.0,12,24,28,51,0,14,14,0,14,3,14,18,3,18
431,Nick Woltemade,GER,"FW,MF",Werder Bremen,21-324,2002,12,1,257.0,2.9,0,0,0,0,0,0,0,0,0.6,0.6,0.4,10,3,8,25,0,0,0,0,0,21,14,36,21,36
432,Jeong Woo-yeong,KOR,MF,Stuttgart,24-106,1999,12,4,380.0,4.2,0,2,2,0,0,0,0,0,0.8,0.8,0.9,17,9,12,29,0,47,47,0,47,20,21,41,20,41
433,Granit Xhaka,SUI,MF,Leverkusen,31-099,1992,16,16,1.415,15.7,0,0,0,0,0,0,3,0,0.7,0.7,1.1,19,27,176,20,0,0,0,0,0,5,7,12,5,12
434,Dan-Axel Zagadou,FRA,DF,Stuttgart,24-215,1999,16,13,1.183,13.1,1,0,1,1,0,0,1,0,0.9,0.9,0.1,10,1,56,2,8,0,8,8,8,7,1,8,7,8
435,Robin Zentner,GER,TW,Mainz 05,29-068,1994,12,12,1.08,12.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
436,Cedric Zesiger,SUI,DF,Wolfsburg,25-194,1998,13,11,936.0,10.4,0,0,0,0,0,0,4,0,0.9,0.9,0.0,9,8,49,0,0,0,0,0,0,9,0,9,9,9
437,Michael Zetterer,GER,TW,Werder Bremen,28-176,1995,9,9,810.0,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,Christoph Zimmermann,GER,DF,Darmstadt 98,30-357,1993,6,5,441.0,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,9,0,0,0,0,0,0,0,0,0,0,0
439,Simon Zoller,GER,"FW,MF",Bochum,32-192,1991,1,0,45.0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
