Rg,Spieler,Land,Pos,Verein,Alt,Geboren,GS,Startelf,Min.,90,Tor,Vor,T+V,T-Elf,Elf,VeElf,Gelb,Rot,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Tor,Vor,T+V,T-Elf,T+V-Elf,xG,xAG,xG+xAG,npxG,npxG+xAG
316,Yussuf Poulsen,DEN,FW,RB Leipzig,29-203,1994,15,9,850.0,9.4,3,1,4,3,0,0,0,0,3.6,3.6,0.8,45,8,13,59,32,11,42,32,42,39,9,47,39,47
317,Grischa Prömel,GER,MF,Hoffenheim,28-360,1995,15,15,1.222,13.6,2,5,7,2,0,0,6,0,2.7,2.7,2.5,52,20,57,38,15,37,52,15,52,20,18,38,20,38
318,Gustavo Puerta,COL,"DF,MF",Leverkusen,20-165,2003,4,0,26.0,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,1,0,1,0,0,0,0,0,0,23,0,23,23,23
319,Luca Raimund,GER,FW,Stuttgart,18-270,2005,1,0,20.0,0.2,0,0,0,0,0,0,0,0,0.9,0.9,0.0,9,0,0,1,0,0,0,0,0,418,0,418,418,418
320,Grant Ranos,ARM,"FW,MF",M'Gladbach,20-168,2003,6,0,42.0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,0,0,0,6,0,6,6,6
321,Nicolai Rapp,GER,DF,Werder Bremen,27-022,1996,2,1,76.0,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
322,David Raum,GER,DF,RB Leipzig,25-257,1998,16,16,1.409,15.7,2,3,5,2,0,0,2,0,0.7,0.7,2.9,36,45,69,142,13,19,32,13,32,4,19,23,4,23
323,Rocco Reitz,GER,MF,M'Gladbach,21-220,2002,16,13,1.103,12.3,4,1,5,4,0,0,1,0,2.1,2.1,1.1,33,23,56,31,33,8,41,33,41,17,9,27,17,27
324,Marco Reus,GER,"MF,FW",Dortmund,34-218,1989,13,11,891.0,9.9,3,2,5,3,0,0,1,0,2.6,2.6,2.3,50,11,29,38,30,20,51,30,51,27,24,50,27,50
325,Elvis Rexhbeçaj,GER,MF,Augsburg,26-064,1997,16,16,1.375,15.3,2,0,2,1,1,1,3,0,1.4,0.6,0.4,10,10,63,32,13,0,13,7,7,9,3,12,4,6
326,Gio Reyna,USA,"MF,FW",Dortmund,21-052,2002,8,1,235.0,2.6,0,0,0,0,0,0,0,0,0.7,0.7,0.7,14,5,14,18,0,0,0,0,0,28,26,53,28,53
327,Marco Richter,GER,"MF,FW",Mainz 05,26-041,1997,12,6,519.0,5.8,1,0,1,1,0,0,2,0,1.8,1.8,0.7,24,15,25,39,17,0,17,17,17,30,12,42,30,42
328,Clemens Riedel,GER,DF,Darmstadt 98,20-169,2003,7,4,365.0,4.1,0,0,0,0,0,0,2,0,0.1,0.1,0.1,2,2,23,25,0,0,0,0,0,2,2,4,2,4
329,Manuel Riemann,GER,TW,Bochum,35-117,1988,16,16,1.44,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
330,Sebastian Rode,GER,MF,Eint Frankfurt,33-085,1990,2,1,23.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2,6,2,0,0,0,0,0,0,0,0,0,0
331,Rogério,BRA,"DF,MF",Wolfsburg,25-356,1998,7,6,525.0,5.8,1,0,1,1,0,0,0,0,0.3,0.3,0.1,4,20,33,29,17,0,17,17,17,5,2,7,5,7
332,Merlin Röhl,GER,"MF,FW",Freiburg,21-183,2002,12,9,761.0,8.5,1,4,5,1,0,0,3,0,1.6,1.6,1.8,34,19,15,39,12,47,59,12,59,19,21,40,19,40
333,Frank Ronstadt,GER,"DF,MF",Darmstadt 98,26-167,1997,4,0,76.0,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,2,3,2,4,0,0,0,0,0,9,12,21,9,21
334,Anthony Rouault,FRA,DF,Stuttgart,22-220,2001,11,5,458.0,5.1,0,1,1,0,0,0,2,0,0.0,0.0,0.3,4,4,27,5,0,20,20,0,20,1,7,7,1,7
335,Jérôme Roussillon,FRA,DF,Union Berlin,30-363,1993,12,5,475.0,5.3,0,1,1,0,0,0,1,0,0.1,0.1,0.4,4,5,28,16,0,19,19,0,19,1,7,8,1,8
336,Fabian Rüdlin,GER,MF,Freiburg,26-356,1997,1,0,7.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
337,Julian Ryerson,NOR,DF,Dortmund,26-048,1997,10,10,893.0,9.9,3,1,4,3,0,0,1,0,1.0,1.0,1.8,28,19,31,62,30,10,40,30,40,10,19,29,10,29
338,Frederik Rønnow,DEN,TW,Union Berlin,31-153,1992,15,15,1.35,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Marcel Sabitzer,AUT,MF,Dortmund,29-293,1994,11,10,838.0,9.3,2,0,2,2,0,0,2,0,1.5,1.5,0.5,21,18,47,23,21,0,21,21,21,17,5,22,17,22
340,Roland Sallai,HUN,"FW,DF",Freiburg,26-227,1997,12,9,759.0,8.4,2,0,2,2,0,0,2,0,3.6,3.6,1.2,48,20,17,56,24,0,24,24,24,43,14,57,43,57
341,Diadie Samassékou,MLI,MF,Hoffenheim,27-358,1996,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,Leroy Sané,GER,FW,Bayern Munich,27-358,1996,15,15,1.314,14.6,8,8,16,8,0,0,2,0,8.6,8.6,8.1,168,84,71,178,55,55,110,55,110,59,56,115,59,115
343,Amin Sarr,SWE,"FW,MF",Wolfsburg,22-299,2001,5,0,98.0,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,2,7,0,0,0,0,0,0,0,0,0,0
344,Bouna Sarr,SEN,DF,Bayern Munich,31-338,1992,2,1,106.0,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,2,3,2,4,0,0,0,0,0,19,0,19,19,19
345,Joe Scally,USA,DF,M'Gladbach,21-004,2002,16,13,1.16,12.9,1,1,2,1,0,0,4,0,0.1,0.1,0.4,5,14,47,32,8,8,16,8,16,1,3,4,1,4
346,András Schäfer,HUN,MF,Union Berlin,24-266,1999,4,1,169.0,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,2,7,9,12,0,0,0,0,0,3,5,9,3,9
347,Patrik Schick,CZE,"FW,MF",Leverkusen,27-345,1996,5,1,116.0,1.3,3,0,3,2,1,1,0,0,1.6,0.8,0.1,9,2,1,12,233,0,233,155,155,123,9,132,62,71
348,Stefan Schimmer,GER,"MF,FW",Heidenheim,29-251,1994,8,0,72.0,0.8,0,1,1,0,0,0,0,0,0.2,0.2,0.9,10,1,1,4,0,125,125,0,125,19,108,127,19,127
349,Xaver Schlager,AUT,MF,RB Leipzig,26-098,1997,14,14,1.234,13.7,0,1,1,0,0,0,1,0,0.6,0.6,1.5,21,41,107,23,0,7,7,0,7,4,11,15,4,15
350,Keven Schlotterbeck,GER,DF,Bochum,26-251,1997,11,9,812.0,9.0,1,0,1,1,0,0,6,0,0.6,0.6,0.3,9,3,25,3,11,0,11,11,11,7,3,10,7,10
351,Nico Schlotterbeck,GER,DF,Dortmund,24-034,1999,15,15,1.304,14.5,1,0,1,1,0,0,0,0,1.1,1.1,0.7,18,27,80,6,7,0,7,7,7,8,5,13,8,13
352,Romano Schmid,AUT,MF,Werder Bremen,23-342,2000,16,14,1.224,13.6,1,2,3,1,0,0,2,0,2.7,2.7,2.8,55,39,75,75,7,15,22,7,22,20,21,41,20,41
