#{"t_start": 1705265892.0710604, "env_id": "CurvyRaceEnv-v0"}
r,l,t
-233.067515,100,451.012036
-211.41633,100,453.275482
-243.750289,100,455.606985
-251.646019,100,457.89345
-260.651894,100,460.207939
-249.144104,100,462.539943
-257.833985,100,464.844923
-233.477059,100,467.147402
-250.100984,100,469.404341
-220.159337,100,471.687802
-254.675213,100,473.967762
-203.898056,100,476.226202
-216.252548,100,478.540691
-200.341591,100,480.888208
-128.172303,100,483.228219
-190.870681,100,485.607263
-220.973369,100,487.889724
-201.39833,100,490.195705
-223.550632,100,492.462654
-232.553388,100,494.760628
-212.110125,100,497.236256
-190.788526,100,499.930571
-202.972136,100,502.424714
-175.904105,100,505.183084
-221.539889,100,507.991499
-209.553634,100,510.576218
-225.542008,100,512.966272
-253.265349,100,515.650078
-242.133353,100,518.32738
-233.611363,100,520.782488
-228.308499,100,523.450781
-245.452575,100,526.116071
-285.152998,100,528.881948
-254.022834,100,531.396608
-263.510787,100,534.049388
-231.05916,100,536.232263
-189.977632,100,538.542748
-212.043535,100,540.79018
-109.027104,100,543.204254
-233.408505,100,545.525249
-251.45602,100,547.797701
-258.905913,100,550.131206
-244.893006,100,552.548283
-258.392585,100,554.842754
-237.101903,100,557.131721
-219.903172,100,559.413682
-201.99711,100,561.696644
-199.006242,100,563.973099
52.187817,100,566.282084
59.795637,100,568.491983
67.247037,100,570.772943
63.112421,100,573.181512
39.699718,100,575.549547
-147.144344,100,577.890559
-178.304146,100,580.16101
-159.144537,100,582.422453
-188.98963,100,584.71142
-138.44177,100,587.00439
-167.762827,100,589.293357
-161.624402,100,591.502254
-158.637551,100,593.826252
-131.180569,100,596.181275
252.618611,100,598.530794
191.581046,100,600.861297
258.466018,100,603.124241
801.209528,100,605.399195
178.564182,100,607.738205
928.818408,100,610.02467
330.458758,100,612.32915
248.438482,100,614.595097
282.14293,100,616.905583
182.497656,100,619.228079
192.908441,100,621.544068
199.602709,100,623.900593
342.312869,100,626.174047
265.253297,100,628.483031
270.847198,100,630.766493
325.663626,100,633.064968
401.538556,100,635.366445
958.317145,100,637.660417
964.145756,100,639.951885
486.915925,100,642.271378
502.667449,100,644.58837
501.824077,100,646.899856
402.336624,100,649.208339
2194.508097,48,650.302779
902.492154,100,652.655301
2197.607694,49,653.774763
2199.223395,48,654.849687
2196.110504,50,655.989666
2197.717799,47,657.037066
2198.636576,50,658.183551
2198.110551,50,659.293005
2199.039665,48,660.431983
2199.632964,48,661.547942
2198.715302,46,662.646386
2198.218642,46,663.717306
2201.478997,50,664.922843
2200.164753,48,666.0373
2198.612315,47,667.148255
2197.780918,49,668.278225
2199.842806,48,669.36566
2198.190909,48,670.472611
2198.871749,49,671.574058
2198.67816,48,672.739058
2198.99937,49,673.843007
2200.242301,47,674.929941
2196.914701,48,676.002863
2197.906207,49,677.142342
1198.129185,100,679.355744
2200.20885,50,680.446181
2198.424606,48,681.518102
2199.220113,51,682.70262
2200.777655,50,683.892141
2197.429189,48,685.046633
2198.97806,46,686.116053
2198.692808,48,687.241519
2199.848385,50,688.412025
2197.368413,49,689.528986
2199.661821,48,690.623926
2196.95175,53,691.864492
2195.635285,47,692.936413
2197.376584,65,694.462224
2200.436285,51,695.640737
2199.422032,52,696.842269
2198.095455,49,697.956727
2198.299719,52,699.12423
