#{"t_start": 1706727624.0760794, "env_id": "CurvyRaceEnv-v0"}
r,l,t
-207.708158,100,107.426307
-108.221504,100,107.560422
-42.023943,100,107.72056
-165.89677,100,107.864183
-96.448535,100,108.005305
-150.732181,100,108.162439
-96.405969,100,108.308565
-110.875861,100,108.440178
-105.508455,100,108.620333
-144.013768,100,108.791981
-57.144375,100,108.96563
-218.769889,100,109.130772
-114.011608,100,109.260884
-90.374584,100,109.410511
-165.306688,100,109.548631
-78.145169,100,109.720779
-123.621951,100,109.881416
-187.918062,100,110.034548
-112.51013,100,110.178672
-112.36933,100,110.329803
-140.223688,100,110.740154
-106.239326,100,110.889283
-41.681075,100,111.03741
61.525025,100,111.18854
47.942356,100,111.338669
5.242717,100,111.51382
37.113965,100,111.674457
79.240591,100,111.841101
47.509415,100,111.998236
-61.557262,100,112.161376
-50.643149,100,112.322015
-112.563665,100,112.489658
-32.850313,100,112.653799
5.757593,100,112.823445
-82.115972,100,112.982081
37.3305,100,113.169243
-19.890825,100,113.38793
-58.577173,100,113.717213
43.848589,100,113.91138
42.628197,100,114.10855
42.430267,100,114.351258
-103.21748,100,114.577451
-72.991718,100,114.747598
-67.706156,100,114.934759
-97.287914,100,115.131928
-65.519394,100,115.590322
-90.595735,100,115.77498
-66.677532,100,115.955137
-67.261809,100,116.126783
-84.914686,100,116.325454
-91.266947,100,116.529129
-92.723409,100,116.749318
-75.463545,100,116.953493
-85.89507,100,117.178187
-25.94566,100,117.406883
-78.233249,100,117.627573
-85.656108,100,117.807728
-10.33495,100,117.968366
-73.887053,100,118.152024
-79.227985,100,118.390228
-80.353576,100,118.61292
-65.966095,100,118.797077
-58.198574,100,118.968225
-56.618832,100,119.150882
-87.53149,100,119.350554
-64.504785,100,119.559733
-61.417409,100,119.746394
-83.295399,100,119.925547
-71.752273,100,120.071673
-161.249158,100,120.503044
-129.792659,100,120.671189
-141.495003,100,120.866856
83.893392,100,121.015985
82.642912,100,121.179625
-142.58355,100,121.403817
116.692735,100,121.64052
-74.782577,100,121.862711
83.834742,100,122.071892
-170.735768,100,122.294583
-128.900496,100,122.447214
86.219603,100,122.639879
-102.693459,100,122.787507
-67.343197,100,122.946143
78.777384,100,123.082759
-138.751904,100,123.235391
-150.914201,100,123.502621
11.331034,100,123.680274
-83.135156,100,123.904466
-105.389576,100,124.160686
84.415448,100,124.387382
82.591321,100,124.614076
-73.532646,100,124.869295
79.253552,100,125.108001
79.869066,100,125.592417
54.003562,100,125.791588
90.686718,100,125.983254
1.910615,100,126.177419
-38.95056,100,126.39961
-47.613437,100,126.600784
4.090749,100,126.78294
69.169538,100,126.985113
-30.436987,100,127.180782
3.77155,100,127.356432
-22.01588,100,127.546095
-49.226872,100,127.751772
-16.606674,100,127.95895
112.526703,100,128.158623
-9.011337,100,128.35379
19.008578,100,128.553461
55.765052,100,128.759138
-12.579614,100,128.958809
62.507774,100,129.157981
-42.94925,100,129.345141
72.047709,100,129.526797
-28.211646,100,129.715959
-36.566448,100,129.906123
-51.723255,100,130.087779
-8.318891,100,130.278944
63.474643,100,130.790383
62.357061,100,130.976543
-10.994033,100,131.152195
16.012713,100,131.344859
-8.276858,100,131.527016
-7.076932,100,131.711174
122.501746,100,131.916852
65.929458,100,132.106514
78.097288,100,132.283166
-24.226934,100,132.469326
69.37949,100,132.659991
62.158438,100,132.850654
10.840446,100,133.042818
89.216226,100,133.21947
137.489531,100,133.415138
-36.133204,100,133.610806
-7.015909,100,133.809477
8.656052,100,133.992635
-22.726727,100,134.213324
75.033018,100,134.414497
4.541429,100,134.614669
-24.879362,100,134.804332
-27.28719,100,134.995996
-9.814545,100,135.187161
226.703532,100,135.697599
-14.012739,100,135.911783
-18.715123,100,136.097944
72.745564,100,136.278598
-0.190508,100,136.457753
-9.414648,100,136.641911
87.188247,100,136.816061
-24.189344,100,137.009727
-3.286546,100,137.204895
128.797824,100,137.389553
70.120989,100,137.57121
-27.84555,100,137.757369
64.57337,100,138.086153
65.599204,100,138.32786
-12.499397,100,138.511518
67.247301,100,138.669654
-8.54518,100,138.844805
-18.315691,100,139.011947
77.092851,100,139.178591
84.964437,100,139.345734
14.268442,100,139.506874
67.871975,100,139.674016
112.236193,100,139.838158
-5.309774,100,140.007303
195.100824,100,140.51574
91.642409,100,140.685385
61.00979,100,140.851027
88.158604,100,141.02668
92.11185,100,141.18031
